id;main_word;s1;s2;s3;s4;s5
361;ZMYWACZ DO PAZNOKCI;Tipsy;Lakier;Aceton;Usuwac;Kosmetyczka
362;PODSTEP;Fortel;Trik;Wybieg;Kon Trojanski;Sztuczka
363;POCISK;Cel;Pistolet;Łuska;Nabój;Strzelac
364;JUHAS;Baca;Wypas;Polana;Góry;Owce
365;PARAPETÓWA;Przeprowadzka;Znajomi;Mieszkanie;Impreza;Okno
366;MŁYNEK;Grac;Pieprz;Wiatrak;Kawa;Woda
367;SPODEK;Filiżanka;Talerzyk;Porcelana;Katowice;Latajacy
368;POKRZYWKA;Chwast;Czerwone;Uczulenie;Krostki;Swedzic
369;ŻYRANDOL;żarówka;Wieczór;Sufit;Swieci;Lampa
370;PAPIEROSY;Filtr;Zaciagac Sie;Nikotyna;Palic;Marlboro
371;MUSZTARDA;Chrzan;Obiad;Słoik;Kiełbasa;Gorczyca
372;KRAJOWY REJESTR DŁUGÓW;Wykaz;Spis;Czarna Lista;Niespłacony Kredyt;Pieniadze
373;ARYSTOTELES;Grecja;Filozof;Onasis;Sokrates;Platon
374;ŁYŻWY;Płoza;Lód;But;Jazda Figurowa;Zima
375;MOKASYNY;Meżczyzna;Skóra;But;Indianie;Stopa
376;POMOST;Jezioro;Rzeka;Deski;Woda;Kładka
377;ZAMEK;Piasek;Drzwi;Klucz;Rozporek;Błyskawiczny
378;GRATY;Nieużywane;Rzeczy;Rupiecie;Klamoty;Stare
379;HAFTY POLSKIE;Wayszywac;Serweta;Kanwa;Koniaków;Magazyn
380;DEKARZ;Komin;Zawód;Dom;Dach;Papa
381;DOBERMAN;Rasa;Niemiecki;Rodowód;Pies;Grozny
382;WANNA;Prysznic;Woda;Kapiel;Mycie;Łazienka
383;GADERYPOLUKI;Kodowanie;Podstawianie;Szyfr;Harcerstwo;Litery
384;GALOP;Chód;Klacz;Kłus;Step;Kon
385;RZUCAC;Celowac;Łapac;Młotem;Piłka;Oszczepem
386;KARO;Pik;Kier;Trefl;Karty;Dekolt
387;MAGIA;Czarodziej;Czary;Wróżby;Harry Potter;Czarna
388;SYRENA ALARMOWA;Morze;Godzina W;Strażak;Bic;Wycie
389;WACHOCK;Anegdota;Kawał;żart;Miasto;Dowcip
390;KRUCJATA;Wyprawy Krzyżowe;Heretyk;Rycerstwo;Innowierca;Sredniowiecze
391;SPRINT;100 Metrów;Bieg;Szybkosc;Stadion;Michael Johnson
392;KRATA;Okno;Wzór;Wiezienie;Zeszyt;Szkocka
393;KASZTAN;Ludziki;Kon;Jesien;Drzewo;żołedzie
394;KASK;Bezpieczenstwo;Budowa;Ochrona;Hełm;Głowa
395;LATOROSL;Dziecko;Winna;Grono;Zima;Pnacze
396;ALUFELGI;Auto;Tuning;Aluminium;Samochód;Koło
397;PISTACJA;Zielony;Lody;Przegryzka;Orzech;Skorupka
398;MARATHLON;Haile Gebrselassie;Filipides;Lekkoatletyka;Biegac;New York
399;DZIECIOŁ;Lekarz;Ptak;Pukac;Big Brother;Drzewo
400;FAKTY;Tvn;Wiadomosci;Wydarzenia;Autentyczne;Oparte
401;MASC;Balsam;Oparzenie;Mleczko;Rana;Krem
402;KSENOFOBIA;Obcy;Wrogosc;Niechec;Cudzoziemiec;Obcokrajowiec
403;CHLEB;Pieczywo;Np. Pszenne;Razowy;żytni;Tostowy
404;PŁATKI;Kukurydziane;Kwiat;Owsiane;Małżowina;Snieg
405;PITAGORAS;Przeciwprostokatna;Matematyka;Trójkat;Twierdzenie;Grecja
406;DACHÓWKA;Blacha;Dom;Papa;Bitumiczna;Pokrycie
407;POP;Muzyka;Kultura Masowa;Cerkiew;Duchowny;Prawosławie
408;CATERING;Wynos;Jedzenie;Obsługa;Dostarczenie;Firma
409;DELL;Komputer;Producent;Firma;Elektronika;Laptop
410;OPAKOWANIE;Karton;Prezent;Zabezpieczenie;Przechowywanie;Transport
411;FISHER-PRICE;Producent;Zabawki;Nagroda;Ryba;Wedkarz
412;NOWY ROK;1 Stycznia;Koniec;Fajerwerki;Poczatek;Sylwester
413;DZIECKO;Córka;Rodzice;Potomek;Narodziny;Syn
414;DEKADENCJA;Moralnosc;Upadek;Beznadzieja;Schyłek;Seksmisja
415;SZUFLADA;Prowadnice;Wysuwac;Kingsajz;Skarpetki;Meble
416;PARALELA;Zestawienie;Równoległy;Zbieżnosc;Porównanie;Odpowiednik
417;BRUNCH;Rano;Lunch;Wczesnie;Jesc;Sniadanie
418;KORUPCJA;Dac W Łape;Koperta;Pieniadze;Polityka;Sprzedajnosc
419;GWIAZDA DAWIDA;Znak;Symbol;żydzi;Judaizm;Szescioramienna
420;NIEURODZAJNY;żniwa;Gleba;żyzny;Plon;Susza
421;ZNAK;Symbol;Drogowy;Zodiakalny;Szczególny;Ostrzegawczy
422;PIEDESTAŁ;Wynosic;Pomnik;Cokół;Posag;Podstawa
423;POLITYKA;Senat;Premier;Tygodnik;Sejm;Panstwo
424;WYSMIENITY;Znakomity;Palce Lizac;Swietny;Wyborny;Doskonały
425;GARGAMEL;Niebieski;Smerfy;Czarownik;Bajka;Klakier
426;WSTAŻKA;Pasemko;Kokarda;Gimnastyka Artystyczna;Tasiemka;Prezent
427;MONTESSORI;Samodzielnosc;Dzieci;Metoda;Pedagogika;Przedszkole
428;MINA;Twarz;Zła Gra;Grymas;Saper;Mimika
429;REGRESJA;Czytac;Progresja;Wstecz;Cofac Sie;Do Tyłu
430;SEN ASTRALNY;Morfeusz;Podswiadomosc;Swiadomy;Gwiazda;Poza Ciałem
431;DYNASTIA;Ród;Król;Serial;Rodzina;Panowanie
432;RANA;Szarpana;Skaleczenie;Blizna;Bandaż;Lizac
433;DREWNO;Pinokio;Opał;Drzewo;Las;Meble
434;PISAK;Długopis;Marker;Kredka;Flamaster;Mazak
435;SŁOWACJA;Sasiad;Kraj;Czechy;Bratysława;Panstwo
436;KARTON;Tektura;Opakowanie;Pudełko;Zabezpieczenie;Papier
437;SIERSC;Zwierzeta;Umaszczenie;Pies;Uczulenie;Alergia
438;ANALOGOWY;Płyta Winylowa;Telewizja;Sygnał;Cyfrowy;Kaseta Magetofonowa
439;KOŁODZIEJ;Piast;Rzemieslnik;Stelmach;Koło;Wóz
440;MATA HARI;Tancerka;Szpieg;Agent;Zamaskowana;Prostytutka
441;KRTAN;Gardło;Zapalenie;Układ Oddechowy;Głos;Nagłosnia
442;PODUSZKA;Powietrzna;Sen;Głowa;Poszewka;Jasiek
443;POSEJDON;Trójzab;Grecki Bóg;Władca;Morze;Neptun
444;WKRETARKA;Narzedzie;Gwóżdż;Srubokret;Wiertarka;Urzadzenie
445;PODLOTEK;Panienka;Małolata;Dziewczyna;Nastolatka;Młoda
446;WYPRZEDZAC;Pierwszy;Kierunkowskaz;Droga;Samochód;Jazda
447;PEPOWINA;Matka;Dziecko;Połaczenie;Przecinac;Poród
448;TEMIDA;Opaska;Sprawiedliwosc;Orły;Sad;Waga
449;RANGA;Stopien;Wojsko;Znaczenie;Ważnosc;Renoma
450;NIEPOZORNY;Mały;Niezauważalny;Drobny;Niewidoczny;Niesmiały
451;KLECHA;Hierarcha;Kazanie;Pogardliwie;Duchowny;Ksiadz
452;KOZAKI;Nogi;Buty;Grzyby;Długie;Zima
453;SIEKACZE;Szczeka;Zeby;Trzonowe;Kły;Odgryzc
454;ANONIM;Nieznany;Pomówienie;Gall;Donos;List
455;EFEKT;Film;Skutek;Motyla;Rezultat;Wynik
456;CZYTELNIA;Ksiażki;Rewers;Wypożyczalnia;Student;Biblioteka
457;DŁON;Palce;Niewidzialna;Pomocna;Reka;Łapa
458;OPERACJA PLASTYCZNA;Piers;Powiekszenie;Chirurg;Nos;Liposukcja
459;WYNAGRODZENIE;Podstawa;Akord;Pensja;Wypłata;Płaca
460;CYWILIZACJA;Rozwój;Wspólnota;Gra Komputerowa;Społeczenstwo;Ludnosc
461;MONA LISA;Usmiech;Da Vinci;Obraz;Dama Z Łasiczka;Luwr
462;BAŁWANEK;Zima;Lepic;Kule;Snieg;Buli
463;ATRAMENT;Kleks;Tusz;Sympatyczny;Długopis;Pióro
464;SPAGHETTI CARBONARA;Włochy;Boczek;Kluski;Jedzenie;Makaron
465;BALIA;Woda;Bednarz;Drewniany;Tara;Prac
466;POTWIERDZENIE;Tak;Zgoda;Odbioru;Zamówienia;Upewnic Sie
467;BULIMIA;żarłocznosc;Odżywianie;Anoreksja;Modelki;Choroba
468;WIWISEKCJA;żaba;żywy;Eksperyment;Biologia;Zwierze
469;MIKE TYSON;Bokser;Ucho;Murzyn;Piesciarz;Waga Cieżka
470;WALKOWER;Kapitulacja;Gra;Oddac;Przegrana;Poddanie
471;E-MAIL;Internet;Poczta;Skrzynka Odbiorcza;Wiadomosc;Wysyłac
472;LATARNIA;Lampa;Morska;Słup;Najciemniej;Prostytutka
473;HAFT;Kordonek;Igła;Krzyżykowy;Wzór;Ornament
474;REGAŁ;Biblioteka;Ksiażki;Mebel;Półki;Szuflada
475;SWIETY MIKOŁAJ;List;Zima;Renifer;6 Grudnia;Prezenty
476;MP3;Rozszerzenie;Plik Muzyczny;Piosenka;Odtwarzacz;Format
477;INTUICJA;Kobieta;Przeczucie;Zmysł;Podpowiadac;Wewnetrzny Głos
478;MOSIADZ;Stop;Cynk;Swiecznik;Miedz;żółty
479;WYCHODEK;Wygódka;Kibel;Potrzeba;Wies;Sławojka
480;DRABINA;Góra;Wysoko;Wejsc;Szczebel;Kariera
481;CIŻEMKA;Nosek;Skóra;żółty;Buty;Wygiety
482;PALCE LIZAC;Smakołyk;Delektowac Sie;Pyszne;Jezyk;Kfc
483;ZELOTA;Kolaborant;Gorliwiec;Entuzjasta;Fanatyk;Konserwatysta
484;SMAŻYC;Kotlety;Frytki;Olej;Patelnia;Masło
485;KOLONIA;Skupisko;Wakacje;Siedlisko;Zimowa;Letnia
486;NIESWIADOMY;Bład;Wiedziec;Automatyczny;Instynktowny;Odruch
487;BIERKI;Patyczki;Zrecznosc;Poruszac;Stos;Gra
488;SŁUŻBA;Drużba;Bezpieczenstwa;Obowiazek;Posługa;Wojskowa
489;NA WSPÓLNEJ;Serial;Telenowela;Oddzielnie;Tvn;Ulica
490;GUCIO;Wodecki;Przyjaciel;Tekla;Pszczółka Maja;Bajka
491;ZAKOPIANKA;Korki;Droga;Góry;Kraków;Tatry
492;HOMOSEKSUALIZM;Orientacja;Hetero;Lesbijki;Gej;Płec
493;SZACHY;Czarno-biały;Gra;Pionki;Garri Kasparow;Roszada
494;KONSUL;Ambasada;Film;Generalny;Piotr Fronczewski;Dyplomata
495;WÓZEK INWALIDZKI;Niepełnosprawny;Nogi;Jeżdzic;Kaleka;Paraliż
496;GLOBTROTER;Plecak;Turysta;Podróżnik;Obieżyswiat;Wedrownik
497;BATUTA;Filharmonia;Piotr Rubik;Dyrygent;Orkiestra;Pałeczka
498;AMBASADOR;Urzad;Delegat;Zagraniczny;Konsul;Reprezentant
499;KUBUS PUCHATEK;Kłapouchy;Tygrysek;Stumilowy Las;Prosiaczek;Bajka
500;VIDEOCLIP;Piosenkarz;Utwór Muzyczny;Spiewac;Obraz;Mtv
501;GIMNASTYKA;Aerobik;Akrobatyczna;Poranna;Skłony;Cwiczenia
502;WAKAT;Stanowisko;Posada;Wolny;Firma;Praca
503;GRANAT;Owoc Z Pestkami;Ciemny Niebieski;Odłamkowy;Wybuch;Rzucac
504;SZKOLENIE;Instruktaż;Kurs;Kwalifikacje;Zajecia;Edukacja
505;CELLULITIS;Odchudzanie;Rozstepy;Tkanka Tłuszczowa;Uda;Skórka Pomaranczowa
506;TOMASZ LIS;Dziennikarz;Telewizja;Kinga Rusin;Polska;Publicysta
507;KARGUL;Kłótnia;Sasiedzi;Nie Ma Mocnych;Pawlak;Sami Swoi
508;SYPIALNIA;Łóżko;Pokój;Odpoczynek;Alkowa;Spanie
509;PALINDROM;Wyraz;Znaczenie;Słowo;Od Tyłu;Taki Sam
510;KORKOCIAG;Butelka;Ciagnac;Otwierac;Wino;Korek
511;TROGLODYTA;Jaskiniowiec;Prymitywny;Człowiek Pierwotny;Dzikus;Maczuga
512;CZARNA DZIURA;Wszechswiat;Wpadac;Gwiazda;Grawitacja;Biały
513;FITNESS;Aerobik;Sylwetka;Klub;Cwiczenia;Siłownia
514;CWIKŁA;Chrzan;Czerwone;Ocet;Ostra;Buraczki
515;LAMPKA NOCNA;Łóżko;Stolik;Sypialnia;Swiatło;Czytac
516;KORALE;Kolorowe;Szyja;Czerwone;Rafa;Jarzebina
517;DIASTEMA;Zeby;Szczelina;Termin Fachowy;Szpara;Szczeka
518;NEPOTYZM;Krewny;Faworyzacja;Polityka;Rodzina;Kumoterstwo
519;UCZTA;Jedzenie;Gala;Biesiada;Zmysły;Przyjecie
520;SMAK;Podniebienie;Wech;Zmysł;Jedzenie;Jezyk
521;PROROK;Przewidywac;Mesjasz;Mahomet;Wiara;Jezus
522;MAM TALENT;Wojewódzki;Chylinska;Tvn;Program;Foremniak
523;KRAVMAGA;Odruch;Bliski Kontakt;System Walki;Samoobrona;Izrael
524;SZPICRUTA;Konie;Poganiac;Oficerki;Bacik;Palcat
525;KOLEJKA;Górska;Stac;Sklep;Pkp;Enerdowska
526;SILESIA;Huta;Region;Slask;Wegiel;Łacinska
527;DOPUST;Los;Kara;Zrzadzenie;Nieszczescie;Bóg
528;RAMA;Dookoła;Lustro;Drewniana;Zdjecie;Obraz
529;MIOTŁA;Szczotka;Latac;Czarownica;Zamiatac;Sprzatac
530;CHOCHLA;Nalewac;Jedzenie;Zupa;Czerpak;Łycha
531;TAJEMNICZY OGRÓD;Powiesc Obyczajowa;Film;Pielegnowac;Sekret;Agnieszka Holland
532;RETROSPEKCJA;Tesknota;Wstecz;Przeszłosc;Literatura;Rozpatrywanie
533;ESKIMOSI;Futro;Grenlandia;Ludnosc;Arktyka;Zimno
534;AZTEKOWIE;Meksyk;Plemie;Montezuma;Cywilizacja;Indianie
535;HOT DOG;Bułka;Pies;Parówka;Fast Food;Jedzenie
536;JAROSZ;Warzywa;Stary Ale ...;Wegetarianin;Mieso;Jesc
537;SMAR;Samochód;Tarcie;Oliwa;Mazidło;Tawot
538;FAMA;Festiwal;Pogłoska;Niesc;Plotka;Wiesc
539;KOHABITACJA;Obóz Polityczny;Premier;Prezydent;Wspólny;Konkubinat
540;KRAJOBRAZ;Pejzaż;Pocztówka;Widok;Po Biwie;Malarstwo
541;MICHAIŁ GORBACZOW;Z S R R;Kohl;Komunizm;Wódka;Pieriestrojka
542;BAKTRIAN;Pustynia;Kamel;Wielbład;Garb;Dromader
543;SZISZA;Egipt;Aromat;Palic;Fajka;Woda
544;DON KICHOT;Sancho Pansa;Wiatrak;Giermek;Błedny Rycerz;Dulcynea
545;PERSONIFIKACJA;Animizacja;Człowiek;Cecha;Uosobienie;Metafora
546;KATAFALK;Trumna;Kaplica;Podwyższenie;Pogrzeb;Dekoracja
547;MAHOMET;Muzułmanin;Islam;Ksiega;Prorok;Mekka
548;HELIKOPTER;Smigłowiec;Samolot;Latac;Wojsko;Ogien
549;PILNICZEK;Piłowanie;Paznokcie;Manicure;Brzeszczot;Wiezien
550;ZAUFANIE;Zdrada;Miłosc;Zwiazek;Wiara;Partnerstwo
551;NEURON;Układ Nerwowy;Akson;Drzewko;Głowa;Mózg
552;STODOŁA;Siano;Słoma;Gospodarstwo;Budynek;Wies
553;ABONAMENT;Telewizyjny;Miesiac;Ryczałt;Radiowy;Opłata
554;PARAPET;Doniczka;Marmurowy;Kwiaty;Szyba;Okno
555;CAŁUS;Buziak;Słodki;Wargi;Usta;Miłosc
556;ZABIEG;Szpital;Działanie;Operacja;Chirurgiczny;Wzgledy
557;KAPA;Lóżko;Przykrycie;Narzuta;Zakrywac;Pled
558;MACZUGA;Pałka;Herkules;Gimnastyka Artystyczna;Bron;Jaskiniowiec
559;STOŻEK;Matematyka;Geometria;Konus;Figura Przestrzenna;Bryła
560;REBUS;Kalambury;Łamigłówka;Szarada;Zagadka;Rysunek
561;TATRY;Góry;Polska;Krupówki;Rysy;Giewont
562;KOMIN;Dym;Dach;Elektrociepłownia;Szacht;Palic
563;MROWIENIE;Ciarki;Uczucie;Plecy;Wrażenie;Skurcz
564;WCZASY;Wyjazd;Mazury;Urlop;Pod Grusza;Morze
565;FLAGA;Bandera;Maszt;Naród;Barwy;Biało - Czerwone
566;ZSZYWACZ;Dokumenty;Metal;Łaczyc;Kartki;Biuro
567;RYSOPIS;Swiadek;Poszukiwany;Sporzadzac;Komisariat;Opis
568;ILUMINACJA;Swiatło;Blask;Olsnienie;Jasnosc;żarówka
569;PUBLICZNOSC;Oklaski;Teatr;Widownia;Ogladac;Siedziec
570;FANTAZJA;Wyobrażenie;Ułanska;Danone;Marzenie;Wizualizacja
571;SZAMPON;Kapac;Myc;Włosy;Mydło;Głowa
572;BIG BROTHER;Kamera;Gulczas;Podgladac;Reality Show;Tvn
573;KONFESJONAŁ;Pokuta;Rozgrzeszenie;Grzechy;Spowiedz;Kosciół
574;DZIERŻAWA;Działka;Ziemia;Płacic;Uprawa;Wynajem
575;PIÓRNIK;Szkoła;Kredki;Przybory;Mieszkanie;Trzymac
576;MORALE;Spadac;Dyscyplina;Duch Bojowy;Wysokie;Wojsko
577;CEGŁA;Wypalac;Dziurawka;Czerwona;Pełna;Dom
578;SZCZENIAK;Suka;Kot;Mały;Młody;Pies
579;TITANIC;Tonac;Szalupa;Katastrofa;Góra Lodowa;Film
580;BOCIAN;Komin;Ptak;żaba;Gniazdo;Biało-czarny
581;SZANTAŻ;Tajemnica;Manipulacja;Okup;Wymuszenie;Anonim
582;101 DALMATYNCZYKÓW;Cruella;Bajka;Łatki;Szczeniak;Pies
583;ROZKWIT;Kwiat;Rozwój;Okres;Oswiecenie;Koniunktura
584;LEJCE;Uprzaż;Prowadzic;Woznica;Kon;Kierowac
585;CHAT;Klikac;Rozmawaic;Internet;Randka;Wirtualny Swiat
586;FIRANKA;Wieszac;Zasłaniac;Okno;Karnisz;Tiul
587;WIGILIA;Rodzina;Stół;Boże Narodzenie;Choinka;Swieta
588;SICZ;Ogniem I Mieczem;Ataman;Zaporoże;Kozacy;Dniepr
589;PERPETUUM MOBILE;Działac;Zasada Zachowania Energii;Fizyka;Uruchomic;Bez Konca
590;MALIBU;Kokos;Pic;Rum;Alkohol;Drink
591;S.O.S;Pomoc;Alfabet Morsa;Ratunek;Statek;Wzywac
592;SZYBA;Szkło;Wybic;Okno;Przezroczysta;Tłuc
593;SZKŁA KONTAKTOWE;Soczewki;Okulary;Wzrok;Widziec;Oczy
594;FAKTURA;Rachunek;Vat;Paragon;Tekstura;Powierzchnia
595;IMPERATOR;Gwiezdne Wojny;Cezar;Piwo 10%;Rzym;Władca
596;PULOK;Sisior;Penis;Gwara Slaska;Kapa;Pracie
597;SLUB;Cywilny;Obraczki;Sakrament;Kosciół;Para Młoda
598;SMYCZ;Spacer;Prowadzic;Własciciel;Pies;Klucze
599;PAPIER TOALETOWY;Łazienka;Wycierac;Rolka;Sedes;Długi
600;MYSZ;Polna;Komputer;Ser;Łapka;Zwierze
601;GRUDZIEN;Swieta;Ostatni;Snieg;Zima;Miesiac
602;ANTYKWARIAT;Sklep;Używane;Kupowac;Ksiażki;Stare Przedmioty
603;OGRÓKI DZIAŁKOWE;Altanka;Uprawiac;Domek Letniskowy;Drzewka Owocowe;Warzywa
604;GOLFISTA;Sport;Piłka;Dołek;Kij;Pole
605;PARKING;Parkowac;Podziemny;Auto;Zatrzymywac Sie;Samochód
606;ENTUZJASTA;Popierac;Zwolennik;Pasjonat;Kibicowac;Fan
607;KREMÓWKA;Wadowice;Kraków;Ciastko;Cukiernia;Smietana
608;NIEADEKWATNY;Pasujacy;Zgodny;Oczekiwany;Własciwy;Odpowiedni
609;EUFRAT;Starożytnosc;Mezopotamia;Tygrys;Rzeka;Powódz
610;POLONISTA;Ojczysty Jezyk;Nauczyciel;Filologia;Wypracowanie;Lektury
611;PAUPERYZACJA;Bieda;Stopa życiowa;Ubogi;Poziom;Pieniadze
612;STETOSKOP;Doktor;Szyja;Badac;Lekarz;Osłuchiwac
613;SALON FRYZJERSKI;Pasemka;Włosy;Ciac;Farbowac;Nożyczki
614;WIDŁY;Rolnik;Wies;Narzedzie;Grabie;Trójzab
615;TESCO;Zakupy;Tanio;Kupowac;Hipermarket;Dużo
616;FLIRT;Karty;Podryw;Uwodzic;Romans;Rozmawiac
617;MACAC;Sciskac;Dotykac;Reka;Klepac;Palec
618;NIEBO;Chmury;Sw. Piotr;Piekło;Raj;Bóg
619;FARMACJA;Chemia;Apteka;Lekarstwa;Akademia Medyczna;Kierunek Studiów
620;NIEWOLNICTWO;Praca;Afryka;Wolnosc;Przymus;Czarny
621;AGONIA;życie;Stan;Umierac;Ból;Meczarnia
622;SZCZOTECZKA DO ZEBÓW;Pasta;Usta;Szorowac;Włosie;Myc
623;GRA PLANSZOWA;Monopol;Chinczyk;Kostka;Warcaby;Pionek
624;KATAPULTA;Maszyna;Mechanizm;Zamek;Oblegac;Miotac
625;TALIA;Osa;Karty;Biodra;Wciecie;Pas
626;BIBLIA;Bóg;Kosciół;Pismo Swiete;Czytac;Stary Testament
627;PAZURY;Drapac;Kły;Szpony;Paznokcie;Palce
628;SKOWRONEK;Spiewac;Gniazdo;Radosny;Ranek;Ptak
629;SZKOLENIOWIEC;Nauka;Selekcjoner;Trener;Kadra;Sport
630;GRANIT;Płyta;Nagrobek;Pomnik;Skała;Kamien
631;PASZPORT;Przekraczac;Podróż;Zagranica;Zdjecie;Dokument
632;ARAFATKA;Szal;Fredzle;Chusta;Nosic;Szyja
633;STRYCH;Dom;Pietro;Na Górze;Schody;Dach
634;ASFALT;Czarny;Jezdnia;Droga;Kłasc;Twardy
635;POLONEZ;Studniówka;Samochód;Taniec;Caro;Polska
636;TALERZ;Stół;Głeboki;Jedzenie;Płytki;Naczynie
637;HARNAS;Zbójnik;Piwo;Janosik;Marek Perepeczko;Góral
638;KOSA;Zboże;Smierc;Scinac;Narzedzie;żniwa
639;LEP;Klej;Papa;Owad;Mucha;Komar
640;OPERACJA;Lekarz;Sala Operacyjna;Zabieg;Szpital;Hirurg
641;SEKRETARKA;Biuro;Odbierac;Telefon;Asystentka;Kawa
642;HIPOTEKA;Obciażenie;Nieruchomosc;Kredyt;Spłacic;Zastaw
643;PIDŻAMA;Bluzka;Koszula;Spodnie;Spac;Noc
644;WRZATEK;Czajnik;Goracy;Herbata;Oparzyc;Woda
645;SESJA EGZAMINACYJNA;Kolokwium;Studia;Semestr;Zaliczenie;Sciaga
646;POCZESTOWAC;Jedzenie;Podzielic;Gosc;Posiłek;Dac
647;DYREKTOR;Szef;Awans;Przełożony;Szkoła;Kierownik
648;POLICJANT;Mundur;Kraweżnik;Glina;Pies;Radiowóz
649;SIODŁO;Uprzaż;Kon;Jezdzic;Dżokej;Rumak
650;JAJECZNICA;Sniadanie;Jajko;Cebula;Smażyc;Boczek
651;PRZEDRZEZNIAC;Denerwowac;Udawac;Parodiowac;Nasladowac;Imitowac
652;KABARET;Ani Mru Mru;Starsi Panowie;Otto;Moranego Niepokoju;Neonówka
653;ANTIDOTUM;Trucizna;Lekarstwo;Medycyna;Przeciwdziałac;Odtrutka
654;EUFORIA;Radosc;Szczescie;Wybuch;Odczuwac;Stan
655;TANIEC TOWARZYSKI;Z Gwiazdami;Zawody;Turniej;Para;Tango
656;UNIWERSYTET;Nauka;Uczelnia;Szkoła;Akademia;Wykładowca
657;ROZWÓD;Małżenstwo;Wina;Rozprawa;Slub;1
658;PUDZIANOWSKI;Strongman;Mariusz;Najman;Siłacz;Najsilniejszy
659;MECHANIZM;Maszyna;Koło Zebate;Ruch;Precyzyjny;Zegarek
660;SZLABAN;Domowy;Przejazd Kolejowy;Zakaz;Kara;Czekac
661;ALKOHOLIK;Choroba;Wino;Wódka;Uzaleznienie;Anonimowy
662;UDERZAC W KONKURY;Smalic Cholewki;Wzgledy;Panna;Starac Sie;Zalecac Sie
663;KOSZYKÓWKA;Rzucac;Parkiet;Sport;Boisko;Piłka
664;SEKACZ;Zółtko;Deska;Rożen;Drewno;Ciasto
665;KROKODYL;Szmaragd;Miłosc;Woda;Aligator;Skóra
666;KOPARKA;Pojazd;Kopac;Łyżka;Ziemia;Budowa
667;EMU;Ptak;Strus;Nielot;Piasek;Australia
668;PSAŁTERZ;Dawid;Msza Swieta;Ksiadz;Psalm;Spiewac
669;LAS IGLASTY;Sosna;Drzewo;Mech;Polana;Bór
670;KAC;Ból Głowy;Nudnosci;Łóżko;Dzien Po;Impreza
671;GRZYWA;Lew;Czoło;Włosy;Długie;Kon
672;TELEWIZOR;Kineskop;Program;Ekran;Ogladac;Kanał
673;TIR;Koło;Przewozic;Jelcz;Ładunek;Cieżarówka
674;BIEGAC;Poruszac Sie;Scigac Sie;Szybko;Metr;Isc
675;SAUNA;Goraco;Finska;Basen;Łaznia;Para
676;KLIF;Morze;Brzeg;Fale;Urwisko;Skała
677;ROZKAPRYSZONY;Rozpieszczony;Dziecko;Zachcianka;Rozwydrzony;Marudny
678;STRINGI;Seksowna;Majtki;Posladki;Nitka;Bielizna
679;FURIA;Wpadac;Wariat;Dzika;Złosc;Szał
680;PLAN B;Awaryjny;Alternatywa;Drugi;Wyjscie;Zgodnie
681;PRZYMUS;Wewnetrzny;Presja;Narzucac;Pod;Nakaz
682;ATAMAN;Kozacy;Szef;Ukraina;Sicz;Przywódca
683;ŁÓŻKO WODNE;Sypialnia;Woda;Leżec;Spac;Mebel
684;REAKTOR;Elektrownia;Czarnobyl;Rozszczepianie;Jadrowy;Atom
685;KREACJA;Bal;Projektant;Tworzenie;Suknia;Ubranie
686;IMIENINY;Kalendarz;Prezent;Swieto;Urodziny;Swieto Rodzinne
687;PRZYCZYNA;Wydarzenie;Powód;Ciag;Ponieważ;Skutek
688;BLOG;Internet;Diarjusz;Dziennik;Komentarze;Pamietnik
689;RORATY;Lampion;Msza Swieta;Rano;Adwent;Kosciół
690;SPRZATACZKA;Brud;Zamiatac;Wiadro;Odkurzac;Szmata
691;HELIOS;Video;Ogladac;Kino;Projekcja;Premiera
692;KABINA PRYSZNICOWA;Łazienka;Brac;Wanna;Myc;żel
693;ROZSZALAŁY;Spokojny;Wzburzony;Dziki;Wiatr;Nienormalny
694;PIRUET;Taniec;Obrót;Lodowisko;Łyżwy;Skok
695;EKSPOZYCJA;Pokazywac;Wystawa;Targi;Galeria;Muzeum
696;PERUKA;Sztuczne;Głowa;Tupecik;Włosy;Łysina
697;BARMAN;Nalewac;Napiwek;Drink;Bar;Podawac
698;LEKTURA;Ksiażka;Biblioteka;Czytac;Obowiazkowa;Szkoła
699;BORA BORA;Plaża;Wakacje;Ocean;Wyspa;Słonce
700;KONEWKA;Kwiaty;Podlewac;Woda;Rosliny;Ogród
701;KFC;Kubełek;Mc'donalds;Restauracja;Fast Food;Kurczak
702;FULL HD;Lcd;Jakosc Obrazu;Telewizor;Ready;Cyfrowy
703;PIEKŁO;Niebo;Smoła;Diabeł;Szatan;Belzebub
704;KLOSZ;Swiatło;żarówka;Abażur;Lampa;Sufit
705;APTEKA;Lekarstwo;Choroba;Farmaceuta;Kupowac;Recepta
706;WOJAK;Wojsko;Szwejk;żołnierz;Piwo;Marynarka
707;WINDA;Winda;Wieżowiec;Dzwig;Jechac;Schody
708;SŁONE PALUSZKI;Chipsy;Przekaska;Gryzc;Jesc;Lajkonik
709;KLIPSY;Kobieta;Biżuteria;Przekłuwac;Ucho;Kolczyk
710;PLAC ZABAW;Dzieci;Karuzela;Piaskownica;Hustawka;Zjeżdżalnia
711;OŁTARZ;Krzyż;Ofiara;Kapłan;Kosciół;Ksiadz
712;KARKONOSZE;Góry;Snieżka;Szklarska Poreba;Karpacz;Szrenica
